lat,lon,site,legislation,info,link,date
45.52772182,-86.66464132,<h3>Captain Lawrence Site</h3>,<h4>Abandoned Shipwreck Act of 1987</h4>,"The Abandoned Shipwreck Act of 1987 (ASA) was enacted following the Submerged Lands Act of 1953, with the intention of further protecting shipwrecks in the rivers and lakes of the United States as well as any shipwrecks up to three miles offshore into the ocean. Under this legislation, any shipwrecks deemed “abandoned” on state land are owned by the state, federal lands by the federal government, and tribal lands by the associated tribe—the only major exception to this is that of U.S. Army and Foreign Military vessel wrecks, which continue to be owned by the respective government no matter where they are located.",<a href='https://declanhilt.github.io/crm-legislation-ss26/sites/abandoned-shipwrecks-act/abandoned-shipwrecks-act.html'>MORE DETAILS</a>,1987
41.75078574,-124.21115,<h3>Brother Jonathan Site</h3>,<h4>Abandoned Shipwreck Act of 1987</h4>,"The Abandoned Shipwreck Act of 1987 (ASA) was enacted following the Submerged Lands Act of 1953, with the intention of further protecting shipwrecks in the rivers and lakes of the United States as well as any shipwrecks up to three miles offshore into the ocean. Under this legislation, any shipwrecks deemed “abandoned” on state land are owned by the state, federal lands by the federal government, and tribal lands by the associated tribe—the only major exception to this is that of U.S. Army and Foreign Military vessel wrecks, which continue to be owned by the respective government no matter where they are located.",<a href='https://declanhilt.github.io/crm-legislation-ss26/sites/abandoned-shipwrecks-act/abandoned-shipwrecks-act.html'>MORE DETAILS</a>,1987
44.99685778,-86.14175013,<h3>Francisco Morazan Site</h3>,<h4>Abandoned Shipwreck Act of 1987</h4>,"The Abandoned Shipwreck Act of 1987 (ASA) was enacted following the Submerged Lands Act of 1953, with the intention of further protecting shipwrecks in the rivers and lakes of the United States as well as any shipwrecks up to three miles offshore into the ocean. Under this legislation, any shipwrecks deemed “abandoned” on state land are owned by the state, federal lands by the federal government, and tribal lands by the associated tribe—the only major exception to this is that of U.S. Army and Foreign Military vessel wrecks, which continue to be owned by the respective government no matter where they are located.",<a href='https://declanhilt.github.io/crm-legislation-ss26/sites/abandoned-shipwrecks-act/abandoned-shipwrecks-act.html'>MORE DETAILS</a>,1987
33.638889,-110.999167,<h3>The Pinto Creek Bridge Replacement</h3>,<h4>Section 4(f)</h4>,"The Pinto Creek Bridge Replacement Project in Gila County, Arizona was involved improvements to a previous historic bridge and US 60 highway. This project would impact an early 20th century campsite with scattered artifacts. It would also impact historic US Route 60 alignment and the original Pinto Creek Bridge which are both considered historically significant. Because his transportation project affected historic transportation infrastructure and other archeological sites, Section 4(f) review was required. Mitigation measures such as prior archeological examination and methods of least possible harm were recommended.",<a href='https://eubank21-netizen.github.io/crm-legislation-ss26/sites/Section-4(f)/Section4f.html'>MORE DETAILS</a>,1966
38.965667,-119.935819,<h3>South Shore Community Revitalization Project</h3>,<h4>Section 4(f)</h4>,"The Tahoe Transportation District (TTD), Tahoe Regional Planning Agency (TRPA), and Federal Highway Administration partnered to hire Ascent Environments, who completed a proposed de minimis determination regarding the US 50/South Shore Community Revitalization Project. A de minimis is one of several possible actions necessary to satisfy Section 4(f) requirements. The project goal is to make significant updates to transportation infrastructure in and connected to Lake Tahoe. There are many Section 4(f) properties identified in the findings, including several historic properties. The property we will focus on for our project is Friday’s Station, a NRHP registered property of significance for its 1860’s Greek Revival-style architecture, and for its use as an inn and Pony Express station during US westward expansion. ",<a href='https://eubank21-netizen.github.io/crm-legislation-ss26/sites/Section-4(f)/Section4f.html'>MORE DETAILS</a>,1966
42.249292,-85.55566,<h3>Bloomfield Subdivision Historic District</h3>,<h4>Section 4(f)</h4>,"The Federal Aviation Administration (FAA) identified that Kalamazoo County/Kalamazoo Battle Creek International Airport (AZO) requires a significant expansion of runway 17-35 to keep up with operational and safety demands of the airport. A Section 4(f) evaluation was conducted by Mead & Hunt, and reviewed by the US Department of the Interior. The evaluation found that Bloomfield Subdivision Historic District, a NRHP eligible post-WW2 community, would be adversely affected.",<a href='https://eubank21-netizen.github.io/crm-legislation-ss26/sites/Section-4(f)/Section4f.html'>MORE DETAILS</a>,1966
39.18544,-93.879799,<h3>Forest Grove Cemetery</h3>,<h4>National Historic Preservation Act</h4>,"On October 15, 1966, the National Historic Preservation Act (NHPA) was signed into law by President Lyndon B. Johnson. Prompted by public and professional anxieties about the destruction faced by historically significant places during Post-WWII development and expansion, the NHPA functioned as a mandate for 1) a national preservation program and 2) a system of protections to encourage the identification and protection of historic resources (National Park Service 2025a).",<a href='https://bigchief97.github.io/crm-legislation-ss26/sites/nhpa/nhpa.html'>MORE DETAILS</a>,1966
40.71278,-74.00594,<h3>Pennsylvania Station</h3>,<h4>National Historic Preservation Act</h4>,"On October 15, 1966, the National Historic Preservation Act (NHPA) was signed into law by President Lyndon B. Johnson. Prompted by public and professional anxieties about the destruction faced by historically significant places during Post-WWII development and expansion, the NHPA functioned as a mandate for 1) a national preservation program and 2) a system of protections to encourage the identification and protection of historic resources (National Park Service 2025a).",<a href='https://bigchief97.github.io/crm-legislation-ss26/sites/nhpa/nhpa.html'>MORE DETAILS</a>,1966
42.755581,-105.400558,<h3>Camp Douglas Officer's Club</h3>,<h4>National Historic Preservation Act</h4>,"On October 15, 1966, the National Historic Preservation Act (NHPA) was signed into law by President Lyndon B. Johnson. Prompted by public and professional anxieties about the destruction faced by historically significant places during Post-WWII development and expansion, the NHPA functioned as a mandate for 1) a national preservation program and 2) a system of protections to encourage the identification and protection of historic resources (National Park Service 2025a).",<a href='https://bigchief97.github.io/crm-legislation-ss26/sites/nhpa/nhpa.html'>MORE DETAILS</a>,1966
46.2113,-119.137,<h3>The Dakota Access Pipeline</h3>,<h4>Native American Graves Protection and Repatriation Act (NAGPRA)</h4>,"The Native American Graves Protection and Reparation Act is a federal law that requires Federal Agencies and institutions that receive fed funds to repatriate or transfer native American human remains and other culturally significant items to the appropriate parties. Cultural items include human remains, funerary objects, sacred objects, and objects of cultural patrimony. NAGPRA was enacted November 16th, 1990, by Maria Pearson, a member of the Yankton Sioux tribe of Iowa, who supported the equal treatment of all people, especially Indigenous North Americans.",<a href='https://keyedsin.github.io/crm-legislation-ss26/sites/nagpra/nagpra-project/nagpra-project.html'>MORE DETAILS</a>,1990
45.767045,-101.202146,<h3>Columbia Park Site</h3>,<h4>Section 106</h4>,"The Dakota Access Pipeline is a 1,172-mile-long underground pipeline, transporting crude oil from North Dakota to Illinois. During planning, the route of the project was redirected to pass directly north of the Standing Rock Reservation, potentially threatening water sources and sacred sites. During the survey of the new route, the Standing Rock Sioux Tribe was scarcely consulted nor considered, even after attempted legal action against the US Army Corps of Engineers.",<a href='https://kszarenski05.github.io/crm-legislation-ss26/sites/section-106/section-106.html'>MORE DETAILS</a>,1966
39.770614,-110.139557,<h3>Nine Mile Canyon</h3>,<h4>Section 106</h4>,"Nine Mile Canyon, located in eastern Utah, is known for its extensive prehistoric rock art, spread across roughly 10,000 panels comprising over 100,000 individual images, all of which bear immense significance to the local Ute people. When the site became a Section 106 undertaking there was significant collaboration between locals, Native groups, and archaeologists forming a precedent regarding consultation and when it should occur during an undertaking.",<a href='https://kszarenski05.github.io/crm-legislation-ss26/sites/section-106/section-106.html'>MORE DETAILS</a>,1966
40.71444,-74.004497,<h3>African Burial Ground</h3>,<h4>Section 106</h4>,"Pre-construction surveys in Manhattan led to the discovery of a site that had historically been known as the “Negros Buriel Ground (sic),” a mass cemetery predominantly for enslaved people of African descent, used between 1650 and 1794. This led to a collaborative effort between the academic and descendant communities to recognize and preserve the burial ground and those who were buried there.",<a href='https://kszarenski05.github.io/crm-legislation-ss26/sites/section-106/section-106.html'>MORE DETAILS</a>,1966
